지점,지점명,일시,기온(°C),습도(%),일조(hr),전운량(10분위)
90,속초,2021-01-01 1:00,-6.7,30,,0
90,속초,2021-01-01 2:00,-6.7,26,,0
90,속초,2021-01-01 3:00,-7.2,25,,0
90,속초,2021-01-01 4:00,-7.6,25,,2
90,속초,2021-01-01 5:00,-7.5,27,,1
90,속초,2021-01-01 6:00,-6.6,28,,0
90,속초,2021-01-01 7:00,-5.8,23,,0
90,속초,2021-01-01 8:00,-6.2,28,0.2,0
90,속초,2021-01-01 9:00,-4.2,29,1,2
90,속초,2021-01-01 10:00,-3.4,28,1,0
90,속초,2021-01-01 11:00,-1.9,29,1,0
90,속초,2021-01-01 12:00,-0.7,28,1,0
90,속초,2021-01-01 13:00,0.5,25,1,0
90,속초,2021-01-01 14:00,1.1,26,1,0
90,속초,2021-01-01 15:00,1.1,26,1,0
90,속초,2021-01-01 16:00,0.4,28,1,0
90,속초,2021-01-01 17:00,-0.6,29,0.8,0
90,속초,2021-01-01 18:00,-1,28,0,0
90,속초,2021-01-01 19:00,-1.6,26,,0
90,속초,2021-01-01 20:00,-1.7,26,,0
90,속초,2021-01-01 21:00,-1.9,28,,0
90,속초,2021-01-01 22:00,-1.8,29,,1
90,속초,2021-01-01 23:00,-2.1,33,,4
90,속초,2021-01-02 0:00,-2.4,29,,3
90,속초,2021-01-02 1:00,-2.4,27,,0
90,속초,2021-01-02 2:00,-2.7,24,,2
90,속초,2021-01-02 3:00,-3.4,19,,0
90,속초,2021-01-02 4:00,-3.7,21,,2
90,속초,2021-01-02 5:00,-4,19,,0
90,속초,2021-01-02 6:00,-4.6,18,,0
90,속초,2021-01-02 7:00,-5,18,,2
90,속초,2021-01-02 8:00,-5.7,20,0.2,0
90,속초,2021-01-02 9:00,-4.1,20,1,0
90,속초,2021-01-02 10:00,-2.5,13,1,0
90,속초,2021-01-02 11:00,-1.2,11,1,0
90,속초,2021-01-02 12:00,-0.7,11,1,0
90,속초,2021-01-02 13:00,0.4,11,1,0
90,속초,2021-01-02 14:00,0.4,10,1,0
90,속초,2021-01-02 15:00,0.9,10,1,0
90,속초,2021-01-02 16:00,0.3,12,1,0
90,속초,2021-01-02 17:00,-1.1,13,0.8,0
90,속초,2021-01-02 18:00,-1.9,15,0,0
90,속초,2021-01-02 19:00,-2.5,17,,0
90,속초,2021-01-02 20:00,-2.5,19,,0
90,속초,2021-01-02 21:00,-2.7,20,,0
90,속초,2021-01-02 22:00,-3.3,24,,0
90,속초,2021-01-02 23:00,-3.5,21,,0
90,속초,2021-01-03 0:00,-3.7,21,,0
90,속초,2021-01-03 1:00,-3.9,24,,0
90,속초,2021-01-03 2:00,-3.8,27,,0
90,속초,2021-01-03 3:00,-4.2,27,,0
90,속초,2021-01-03 4:00,-4.7,20,,0
90,속초,2021-01-03 5:00,-5.3,19,,0
90,속초,2021-01-03 6:00,-4.7,18,,2
90,속초,2021-01-03 7:00,-5.4,21,,1
90,속초,2021-01-03 8:00,-5,20,0.1,0
90,속초,2021-01-03 9:00,-3.9,20,1,0
90,속초,2021-01-03 10:00,-3.1,19,1,0
90,속초,2021-01-03 11:00,-1.9,19,1,0
90,속초,2021-01-03 12:00,-1.1,18,1,0
90,속초,2021-01-03 13:00,-0.5,18,1,0
90,속초,2021-01-03 14:00,-0.1,16,1,3
90,속초,2021-01-03 15:00,0.5,14,1,1
