지점,지점명,일시,평균기온(°C),최고기온(°C),최저기온(°C),평균현지기압(hPa),평균상대습도(%),평균풍속(m/s),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균지면온도(°C)
90,속초,2016-01,-1.2,11.5,-16.4,1019.7,43,2.4,,,191.1,69.39,,-.4
90,속초,2016-02,.8,10.3,-9.4,1019.7,55,2.1,,,197.6,63.23,,1.1
90,속초,2016-03,7,21.5,-7.6,1017.9,58,1.9,,,209.6,56.44,,7.2
90,속초,2016-04,12.6,29.3,3.6,1010.6,66,2.3,,,222.9,56.22,,14.5
90,속초,2016-05,17.2,29,7.3,1008.1,67,2.2,,,261.1,59.06,,21.2
90,속초,2016-06,20.6,30.5,12.6,1005.5,82,1.8,,,175.3,39.54,,24.9
90,속초,2016-07,22.9,31.9,17,1006.2,90,1.3,,,119.2,26.47,,25.1
90,속초,2016-08,25.5,35.9,15.3,1004,82,1.6,,,220.7,52.3,,27.8
90,속초,2016-09,20.4,28.6,13.2,1012.1,87,1.5,,,130,34.86,,22
90,속초,2016-10,15.3,24.2,3.3,1017,75,1.7,,,140.8,40.55,,15.6
90,속초,2016-11,8.4,20.8,-2.5,1019.4,60,1.8,,,172.2,56.74,,7.7
90,속초,2016-12,4.4,14.1,-6.1,1019.9,56,1.9,,,164.8,55.62,,3.4
90,속초,2017-01,.8,11.3,-11.2,1020.2,50,1.9,,,215.4,70.48,,.8
90,속초,2017-02,3,14.7,-8.2,1017.8,44,2,,,222.2,73.58,,2.5
90,속초,2017-03,7,18.5,-2.8,1015.9,57,1.9,,,199.8,53.83,,8
90,속초,2017-04,14.8,30.8,2.6,1008.9,56,2.3,,,255.2,64.38,,17.4
90,속초,2017-05,18.7,34.3,9.3,1008,62,2,,,272.3,61.61,,25
90,속초,2017-06,19.8,29.7,9.9,1006.2,79,1.7,,,204.7,46.18,,25.5
90,속초,2017-07,25.6,34.9,18.9,1004.7,81,1.2,,,165.4,36.71,,27.7
90,속초,2017-08,23.7,32.4,16.4,1006.2,84,1.1,,,107.2,25.39,,25.8
90,속초,2017-09,20.8,28.4,13.1,1010.6,71,1.6,,,249.2,66.77,,23.7
90,속초,2017-10,14.5,25,4,1019,74,1.7,,,157.7,45.39,,16.2
90,속초,2017-11,7.8,20.4,-4,1017.7,43,2.2,,,218.5,71.88,,7.2
90,속초,2017-12,.7,11.4,-9.9,1019.9,38,2.2,,,230.3,77.75,,-.5
90,속초,2018-01,-1.4,11.9,-16.2,1018.5,37,2,,,214.7,70.26,,-.9
90,속초,2018-02,-.5,10.5,-13.2,1018.8,43,2.1,,,218.5,72.4,,.6
90,속초,2018-03,8,24.7,-6.2,1017.3,59,2.2,,,171.2,46.17,,8.5
90,속초,2018-04,13,32.5,2,1012.2,57,2.3,,,227.6,57.47,,14.9
90,속초,2018-05,15.9,29.4,4.5,1009,75,2,,,186.4,42.2,,19.1
90,속초,2018-06,21.3,33.9,13.2,1005.3,72,1.7,,,208.8,47.1,,26.9
90,속초,2018-07,25,35.4,14.8,1006.9,82,1.6,,,209.3,46.45,,29.4
90,속초,2018-08,25.6,38.7,17.2,1005.9,82,1.6,6,3.3,185.3,43.85,,28.6
90,속초,2018-09,20,29,12.6,1011.6,73,1.5,5.5,2.9,196.1,52.52,,23.2
90,속초,2018-10,13.5,23.8,.3,1015.7,61,1.8,3.6,2.4,229.5,65.99,,14.1
90,속초,2018-11,9.2,19.2,-1.9,1020.1,57,1.6,4.1,3.1,165.7,54.47,,7.8
90,속초,2018-12,1.6,12.7,-11.4,1022.5,42,1.8,3.4,2,208,70.2,,.8
90,속초,2019-01,1.7,12.8,-9,1020.4,35,1.9,2.9,1.8,232.1,76.02,,1.3
90,속초,2019-02,2.5,15.7,-7.3,1020,49,1.8,4,2.6,215.2,71.38,,2.6
90,속초,2019-03,8.2,21.6,-1.4,1012.9,51,2.1,4.3,2.5,233.1,62.93,,8.4
90,속초,2019-04,11.9,25.9,1.3,1011.9,55,2.1,5.1,3.2,230.5,58.27,,13.5
90,속초,2019-05,19.8,34.2,6.5,1007.6,52,2.2,4,1.9,296.2,67.06,,24.1
90,속초,2019-06,20,30.2,11.5,1005.1,78,1.8,5.5,3.4,224.8,50.72,,24.3
90,속초,2019-07,24.7,36.1,17.7,1004,80,1.7,6.4,3.9,196,43.49,,27.4
90,속초,2019-08,25.7,35.6,19.3,1004.7,78,1.7,5.4,2.9,230.7,54.58,,28.4
90,속초,2019-09,20.9,32.3,11.6,1013.6,79,1.5,6.7,4.3,145.2,38.85,,22.7
90,속초,2019-10,16.1,25,6.5,1016.7,68,1.9,5.4,3.5,157.7,45.33,,16.1
90,속초,2019-11,9.4,21.1,-1.2,1018.9,57,1.8,4.4,3.1,186.9,61.42,,8.7
90,속초,2019-12,4.2,14.4,-7.1,1020.6,45,1.9,3.9,2.3,194.7,65.71,,2.6
93,북춘천,2016-10,14.1,29,-1.9,1008.2,74,.9,5.4,3.1,185.3,53.29,381.67,15.7
93,북춘천,2016-11,5.1,19.5,-9.1,1011.4,71,.9,4.8,3.5,147.4,48.44,259.88,6.2
93,북춘천,2016-12,-.2,10.2,-12.1,1012.9,74,.8,5.4,4.1,142.3,47.8,204.42,.6
93,북춘천,2017-01,-3.4,11.6,-17,1013.1,66,1.1,3.6,2.6,204.2,66.6,286.3,-1.9
93,북춘천,2017-02,-1.5,12.2,-15.7,1010.9,64,1.2,3.1,2.2,214.9,71.04,356.79,-.4
93,북춘천,2017-03,4.6,19,-8.3,1007.5,59,1.3,4.3,2.7,212.4,57.24,436.28,5.8
93,북춘천,2017-04,13.2,29.1,-.8,1001.1,55,1.9,4.4,2.5,257.3,65.01,560.07,15
93,북춘천,2017-05,18.6,30.7,6.7,1000.4,56,1.8,4.2,2.4,280.1,63.49,645.7,21.8
93,북춘천,2017-06,22.3,35,9.2,997.1,59,1.5,4.8,3.1,271.2,61.23,656.82,26.7
93,북춘천,2017-07,26.3,34.9,19.4,996.5,78,1,7.7,5.4,126.4,28.13,421.28,28.4
93,북춘천,2017-08,24.4,37.5,13.9,997.1,76,1.1,7.2,4.5,150.3,35.65,438.14,27.2
93,북춘천,2017-09,19.1,30.5,4.9,1002.4,74,1.1,4.7,3.1,220.3,59.06,480.31,22.6
93,북춘천,2017-10,13.5,26.9,-3.7,1009.9,74,1.1,5,2.8,196.9,56.61,366.06,15.7
93,북춘천,2017-11,3.2,18.8,-10.2,1011,67,1.2,4,3,185.3,60.83,267.52,4.6
93,북춘천,2017-12,-4.3,8.6,-19,1013.5,67,1.2,4.1,3.5,183.8,61.72,248.12,-1.3
93,북춘천,2018-01,-6,8.6,-21.7,1011.9,60,1.3,3.9,2.5,203,66.23,297.61,-3.4
93,북춘천,2018-02,-3.4,10.4,-19.2,1011.2,53,1.5,3.6,1.9,214.2,70.86,345.45,-2.2
93,북춘천,2018-03,7,23.4,-8.2,1008.8,61,1.8,4.6,3.3,204.3,55.07,434.45,7.5
93,북춘천,2018-04,12,29.2,-3,1004.2,60,1.9,4.9,3.5,218.7,55.3,505.89,14
93,북춘천,2018-05,17.2,31,2.9,1000.3,66,1.7,5.4,3.5,233.2,52.89,577.58,20.2
93,북춘천,2018-06,22.6,34.5,11.9,996.8,63,1.5,5.6,2.8,252.8,57.08,628.31,28.4
93,북춘천,2018-07,26.3,37.6,13.7,998.1,71,1.3,5,3.6,243.9,54.26,520.07,
93,북춘천,2018-08,26.9,40.6,15.8,996.6,69,1.3,6.1,3.8,223,52.83,464.48,31.7
93,북춘천,2018-09,19.1,29.5,6.5,1002.6,72,1.1,5.4,3.1,205.5,55.05,397.14,22.8
93,북춘천,2018-10,10.3,25,-2.5,1007.7,75,1.1,4.5,3.1,200.3,57.54,314.48,12.8
93,북춘천,2018-11,5.1,19.3,-7.3,1012.2,75,.7,5.1,3.6,148.2,48.61,206.42,6.4
93,북춘천,2018-12,-3.2,12,-16.9,1015.4,62,1,3.9,2.4,194.9,65.42,216.07,-1.7
93,북춘천,2019-01,-3.9,8.3,-15.1,1013.8,56,1,3,1.6,228.9,74.78,251.44,-3.3
93,북춘천,2019-02,-.6,13.4,-13.6,1012.3,59,.9,4.6,2.4,201.8,66.82,324.29,.7
93,북춘천,2019-03,5,18.3,-7.3,1005.4,58,1.4,5.1,3.6,199.4,53.82,431.23,6.3
93,북춘천,2019-04,10.6,28.3,-5.1,1003.7,57,1.5,5.2,2.9,205.8,52.09,525.84,13.2
93,북춘천,2019-05,18.3,33.3,2.6,1000.1,55,1.6,4,1.4,298.6,67.74,742.98,23.2
93,북춘천,2019-06,21.4,33.1,9.9,996.1,72,1.2,5.7,3.3,235,53.06,652.98,26.4
93,북춘천,2019-07,25,36.2,14.8,995.4,78,1.2,7.4,5.5,140.5,31.24,494.97,28.6
93,북춘천,2019-08,25.6,36.5,16.1,996.1,80,1.1,6,3.8,220.9,52.33,583.7,29.4
93,북춘천,2019-09,20.7,31.6,10.7,1004.4,80,1.1,7.1,4.9,138.1,36.94,395.49,23.7
